হাউস ২৬, হযরত নগর ১ নং লেন, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১৪৪/৩, শেরে বাংলা রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৮১/১, নবাবগঞ্জ মেইন রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৯৫/এ(বি), বাংলাসোরর মসজিদ গলি, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১০৬/৪, খায়রুন্নেছা রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪১১, খন্দকার গলি(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৬/এফ, গনোকটুলি লেন ২, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫৭, রোড ১২/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৬৭, আমিন একাডেমী গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৭৫, হাসান নগর রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৫, কালিনগর গলি, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১০, রসুলপুর মেইন রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৪১/১(এ), হাজারীবাগ লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৭, রোড ১১/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৩/৬, নাইন ব্রাদার রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৭/৩, বাড্ডা নগর রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৭/১/সি, গনোকটুলি লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৮৮, চেয়ারম্যান গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৮৮(এ), প্রাইভেট লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৯, ফিমেল হোস্টেল রোড, পিলখানা, নিউ মার্কেট থানা, ঢাকা জেলা
হাউস ৩৫/১, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৮৯, , কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৮/৪, কালিনগর গলি, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৪/৩/বি, গনোকটুলি লেন ২, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১০৯/৩, হাজী আফসারুদ্দিন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪/৩, দরবার শরীফ রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৭৭, সেকশন ঢাল রোড(এম.সি.রায় রোড), হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৮০, জাউলাহাটি ৬ নং গলি, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৬৭, হাসান নগর রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৪/২, নিলয় রেসিডেন্সিয়াল রোড, পিলখানা, নিউ মার্কেট থানা, ঢাকা জেলা
হাউস ৬৮/১১, তিন মাজার রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫৭,৫৮, হাজারীবাগ মনেশ্বর রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৬৪, রোড ১২/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪২/২/বি, প্রানের গলি, মনেশ্বর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩/১, বন্ধু মহল গলি, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৯৪,  রয়্যাল ট্যানারি গলি , হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩০৮, মিডেল রাসুলপুর ৩ নং রোড ওল্ড কমিউনিটি সেন্টার ১ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৪/১/১, নবাবগঞ্জ মেইন রোড, নওয়াবগঞ্জ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৩২, ওল্ড রোড 19, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৩৪, লবনের গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১৭৪, পচা পুকুর গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৫/২, কালুনগর বাই লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৭, এম.সি.রায় রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৯/এ, গনোকটুলি লেন ২, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৪/ও, এনায়েতগঞ্জ রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩০, হোসেন উদ্দিন খান ১স্ট লেন, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ৫৫, সেকশন ঢাল রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২০৯/এ, সুলতানগঞ্জ রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৭/ডি, আব্দুল আজিজ লেন মেইন রোড, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ৪৯০০৪, মৌলভী শালেক রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৯/৩/এ, বাড্ডা নগর রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫৫২, হাসান নগর ৩ নং লেন(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৯৩/২/বি, তিন মাজার রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৪৫/এ, আমাম শাহেব লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৩৯/১, পান্থশালা রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৮/১৬/ডি, কোম্পানি ঘাট গলি ২, নওয়াবগঞ্জ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৫, নবাবগঞ্জ মেইন রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩২(বি),  ওয়েস্ট তলবাগ রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২১৯, ওয়েস্ট রসুল পুর ৪ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৮৬, ভান্ডারিজ নূর গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৪৪/টি, মিতালি রোড বাই লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৯/১, হোসেন উদ্দিন খান লেন ১ নং, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ২৮৫/এ, বাংলা সড়ক, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪৩, মাদ্রাসা গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৮৯, নবাবগঞ্জ মেইন রোড, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ১২৩, হযরত নগর রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৪৪, রোড ৯/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৫(এ), ওয়েস্ট  ধানমন্ডি জামে মসজিদ রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৯/২, গনোকটুলি লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৯৬/এ, এশিয়া গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২০৬, ২ নম্বর রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৪, জাফরাবাদ জামে মসজিদ রোড, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ৭৫/১, তুলাগাঁস্তলা রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৫১, , কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৪২/১২, হাজারীবাগ মনেশ্বর রোড, মনেশ্বর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪, তলাবাঘ লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৮৬, ওয়াহাব সরকার রোড(ওয়েস্ট রসুলপুর রোড), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১৪৭(এ), নবাবগঞ্জ মেইন রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৫, নবাবগঞ্জ মেইন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৬৯, রোড ১০/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৭৪/৩, তিলবাড়ি গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৭২, নবাবগঞ্জ মেইন রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৩/৩, গজমহল রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৮৭(বি), নবাবগঞ্জ মেইন রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৬(এ), প্রানের গলি, মনেশ্বর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৬/১০, স্টাপ কোয়াটার রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৮৭, সাতমসজিদ রোড, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৩, মধ্য রসুলপুর ৫ নং গলি(মোতালেব মেম্বার গলি), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৪৮০, ওয়াহাব সরকার রোড(ওয়েস্ট রসুলপুর রোড), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১২৬/১, রায়ের বাজার স্টাফ কোয়ার্টার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪৬/২, আমাম শাহেব লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৪, হাসান নগর, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৪৬/৮/২, শাহেব আলী এর গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫২, দেওয়ান বাড়ি গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৭৮, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৫, রায়ের বাজার মুরগি পট্টি গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৪/বি, কমিউনিটি সেন্টার গলি, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ৩২/ই, নবাবগঞ্জ বাজার গলি, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ৭১, সাতমসজিদ রোড, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩১৫, ভাণ্ডারিজ মসজিদ ৪ নং গলি, হাসান নগর, লালবাগ থানা, ঢাকা জেলা
হাউস ১৮২/২,  সাত মস্ক গলি , পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৯৯/বি, প্রাইভেট লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৯৭, রসুল্পুর মেইন রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১০৩, চেয়ারম্যান গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৯, গজমহল বাজার গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫২/বি/এ, বাড্ডানগর লেন, মনেশ্বর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১১/১, রোড ৪, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১১৮/১, হাজারীবাগ রোড গলি, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৩/৭/এ, হাজী আব্দুল হাই রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৭(এ), এনায়েতগঞ্জ রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৮/এ, আবাসিক রোড, পিলখানা, নিউ মার্কেট থানা, ঢাকা জেলা
হাউস ২৪৬, ওল্ড ১৯/এ রোড (১০/এ), পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৭, মিতালি রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১২/১, চিরি ঘাট গলি, কোম্পানি ঘাট, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৬৩/১, রোড ৭/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৮৭, হাসান নগর ২ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৮, তিন মাজার রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৮৪/ডি, হোসাইন সাহেবের গলি (হোসাইন সাহেব লেন), শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ৪০, কমিউনিটি সেন্টার গলি, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ৭৪, রসুলপুর মেইন রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৩৭, ওল্ড ১৯/এ রোড (১০/এ), পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৩৭/৯, হাজী আক্তার হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১১৫, ভুলুয়া ট্যানারি গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫৮৪, হযরত নগর রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১৩৯, হাসান নগর নূর মসজিদ রোড, হাসান নগর, লালবাগ থানা, ঢাকা জেলা
হাউস ৩০, বাড্ডানগর লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩১০, লেন নং ২ নয়াগাঁও, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৪৭৬, পূর্ব (ইস্ট) রাসুলপুর ৮ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৫২, আব্দুল আজিজ লেন নিলাম্বর শাহ রোড, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ৪০৭, আমিনবাগ ৪ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৩(সি), মাজার গলি, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৬৩, পূর্ব (ইস্ট) রসুলপুর ৫ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৩০১, হজরত রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৪২, হাজারীবাগ লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২২৬/৪, মধু বাজার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৯০, পচা পুকুর গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৫৪, চাঁন মসজিদ ৬ নং গলি(আমিনবাগ রোড), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১০(বি), জাফরাবাদ জামে মসজিদ রোড, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ১৪১/১০, সুলতানগজ্ঞ রোড (ট্যালি অফিস রোড), রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৯৫/জেএইচএ/৫/এ(বি), রোড নং ৫ সিকদার রিয়েল এস্টেট, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১১, রসুলপুর মেইন রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২২, মিতালি রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৩/৩/বি, আলমাস গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৬৩, আসাদুল্লাহ প্রাইভেট লেন, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১১৮, বড় মসজিদ গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৪/২/২, গনোকটুলি লেন ২, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৪/১,  মিজান ট্যানারি গলি , হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১১৭/বি, শের-ই-বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৪, হাজী সাত্তার রোড(হাসান নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৫১, প্রাইভেট লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৫০/৩, মধু বাজার গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২১/১, মাজার গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৭১/এ, নাজিমউদ্দিন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৬৪, নয়াগাঁও বাদশাহ মিনি স্কুল রোড(হাসান নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৭১/এ, সাতমসজিদ রোড, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৯০, খন্দকার গলি(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৪২, রোড ৫, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৭৪, জাউলাহাটি ৬ নং গলি, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১০৯, নয়াগাঁও চৌ রাস্তা রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৩, কাজীরবাগ লেন ১, কোম্পানি ঘাট, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৮৩, আমিনবাগ ৪ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৫/বি, ফিমেল হোস্টেল রোড, পিলখানা, নিউ মার্কেট থানা, ঢাকা জেলা
হাউস ২৯০/২, শের-ই-বাংলা রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৫, এনায়েতগঞ্জ রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫২, হোসেন উদ্দিন খান ১স্ট লেন, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ৯/২, রোড ৪, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৮/২, হাজারীবাগ মনেশ্বর রোড, মনেশ্বর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৯৬, নয়াগাওঁ রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২০/২,  কালুনগর বাই লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৮, বাড্ডানগর লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১১৫, পূর্ব (ইস্ট) রসুলপুর ৭ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৩৭, কমিউনিটি সেন্টার রোড(মিডেল রসুলপুর রোড), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১৪৩, পূর্ব (ইস্ট) রসুলপুর ৬ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১০(এ), শের-ই-বাংলা মেইন রোড, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ৪৪২, হাক্কানি গলি/৩ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৪/১,  ওয়েস্ট তলবাগ রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৮/৪, বাড্ডানগর লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৯৭, চেয়ারম্যান গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২০৮, সাত মসজিদ গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১২/১, কেলর মহল লেন, কোম্পানি ঘাট, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৯৫/বি, ট্যালি অফিস মেইন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৮৯, খন্দকার গলি(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৯৬, নবাবগঞ্জ মেইন রোড, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ৫৮৯, আক্কেল আলী গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৩১, রনি মার্কেট ১ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৫০, শিকারিতলা রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৬০,  মধ্য (মিডেল) রসুলপুর ২ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৭০, নাজিমউদ্দিন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১১২/এইচ, রায়ের বাজার স্টাফ কোয়ার্টার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৮০/সি, শের-ই-বাংলা রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৪৯, হাসান নগর ৭ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৭/২, নবাবগঞ্জ মেইন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩২/৫(এ), এনায়েত গঞ্জ রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৫, আবদুল আজিজ লেন, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ১০৯/৭, হাজী আফসারুদ্দিন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩০৩/২, ডায়মন্ড হোটেল লেন, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪৮(বি), হাজারীবাগ লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৭৩/২, ধলাই কারখানা লিংক রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৯,  মধ্য (মিডেল) রসুলপুর ৪ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১৬, বন্ধুমহল রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৮১, নবাবগঞ্জ মেইন রোড, কোম্পানি ঘাট, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৯৬, ওয়াহাব সরকার রোড(ওয়েস্ট রসুলপুর রোড), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৬৪, নবাবগঞ্জ মেইন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৮৭/সি, শের-ই-বাংলা মেইন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৪৯/২, শের-ই-বাংলা মেইন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১০৪, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৬/৩, হোসেন উদ্দিন খান লেন ১ নং, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ২১/২, বড় মসজিদ গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩১, ভাগলপুর লেন, নওয়াবগঞ্জ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৭, বড় মসজিদ গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৬৮/সি(বি), তিন মাজার রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১২৯/১, রায়ের বাজার স্টাফ কোয়ার্টার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৪, নবাবগঞ্জ মেইন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫৪৫, হযরত নগর রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১৮১এইচটিটিপিএস://www.yওইউটিইউবিই.সিওএম/wএটিসিএইচ?ভি=২ভিভি-বিএফভিওকিউ৪জি, হাসান নগর ৩ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১৪/৩, মুন্সী বাড়ি রোড, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৩০, সেকশন ঢাল রোড(এম.সি.রায় রোড), হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৬৮, লোলিত মোহন দাস লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৯১/ডি/১, রোড ৭/এ, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৩, সাতমসজিদ রোড, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪১, মাদ্রাসা গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৭০, হোসেন উদ্দিন খান লেন ১ নং, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
